2026-07-24 14:43:29 | INFO     | gateway      | lifespan:33 | 🚀 Starting RAG-ALL Gateway Service...
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:34 |    Project: RAG-ALL v0.1.0
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:35 |    Gateway Port: 8000
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:36 |    Agent URL: http://agent:8001
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:37 |    RAG URL: http://rag:8002
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:38 |    Document URL: http://document:8003
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:39 |    Research URL: http://research:8007
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:40 |    Editor URL: http://editor:8008
2026-07-24 14:43:29 | INFO     | gateway      | lifespan:41 | ✅ Gateway Service started successfully
2026-07-24 14:44:02 | INFO     | gateway      | lifespan:46 | 🔄 Shutting down Gateway Service...
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:33 | 🚀 Starting RAG-ALL Gateway Service...
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:34 |    Project: RAG-ALL v0.1.0
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:35 |    Gateway Port: 8000
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:36 |    Agent URL: http://agent:8001
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:37 |    RAG URL: http://rag:8002
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:38 |    Document URL: http://document:8003
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:39 |    Research URL: http://research:8007
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:40 |    Editor URL: http://editor:8008
2026-07-24 14:44:03 | INFO     | gateway      | lifespan:41 | ✅ Gateway Service started successfully
